
XXSREI GL Account Analysis Report       ,      269.75                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSrei Bank Statement Reconciliation    ,        33.3                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,       11.97                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,        6.17                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,        6.02                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,        5.73                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,        5.58                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,        5.47                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,         4.2                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI SEFPL Payable Invoice Voucher      ,         .07                                                                                                                                                                                                                                                                                                                                                                                                                                                               
